I DO,adventure,Do you still like to explore?,"How great, you are still a kid at heart! Someone should write an adventure story about you. I would read it!"
NO,adventure,Do you still like to explore?,I do not do much exploring myself! Are you familiar with Tom Clancy's writing?
I m not really sure,adventure,I would read it!,Are you familiar with Tom Clancy's writing?
YES,adventure,Are you familiar with Tom Clancy's writing?,Talk about action and suspense! Do you think it would be hard to be a secret agent or spy?
ABSOLUTELY,adventure,Are you familiar with Tom Clancy's writing?,Talk about action and suspense! Do you think it would be hard to be a secret agent or spy?
I AM,adventure,Are you familiar with Tom Clancy's writing?,Talk about action and suspense! Do you think it would be hard to be a secret agent or spy?
NO,adventure,Are you familiar with Tom Clancy's writing?,He wrote about spies and secret military operations. Do you think it would be hard to be a secret agent or spy?
DON T KNOW,adventure,Are you familiar with Tom Clancy's writing?,He wrote about spies and secret military operations. Do you think it would be hard to be a secret agent or spy?
[MASK] WHO [MASK],adventure,Are you familiar with Tom Clancy's writing?,He wrote about spies and secret military operations. Do you think it would be hard to be a secret agent or spy?
YES,adventure,Do you think it would be hard to be a secret agent or spy?,I agree. What do you think it would feel like to be on a mission and have secret orders to carry out?
ABSOLUTELY,adventure,Do you think it would be hard to be a secret agent or spy?,I agree. What do you think it would feel like to be on a mission and have secret orders to carry out?
I DO,adventure,Do you think it would be hard to be a secret agent or spy?,I agree. What do you think it would feel like to be on a mission and have secret orders to carry out?
NO,adventure,Do you think it would be hard to be a secret agent or spy?,What do you think it would feel like to be on a mission and have secret orders to carry out?
I DO NOT KNOW,adventure,What do you think it would feel like to be on a mission and have secret orders to carry out?,"I am definitely no expert on spies or what it's like to be an agent, but I think you have a good point. Should we keep talking about books?"
NO,adventure,Do you think it would be hard to be a secret agent or spy?,What do you think it would feel like to be on a mission and have secret orders to carry out?
NO,adventure,Have you ever read The Adventures of Tom Sawyer?,It's about a boy living on the Mississippi river. Did you like to go exploring when you were kid?
[MASK] YES [MASK],*,Should we keep talking about books?,"Do you prefer adventure, horror, drama, or mystery?"
ABSOLUTELY,*,Should we keep talking about books?,"Do you prefer adventure, horror, drama, or mystery?"
[MASK] NO [MASK],*,Should we keep talking about books?,What would you like to talk about next?
YES,adventure,Are you familiar with Moby Dick?,Have you ever chased after something like Captain Ahab chased after that white whale?
ABSOLUTELY,adventure,Are you familiar with Moby Dick?,Have you ever chased after something like Captain Ahab chased after that white whale?
I AM,adventure,Are you familiar with Moby Dick?,Have you ever chased after something like Captain Ahab chased after that white whale?
NO,adventure,Are you familiar with Moby Dick?,In that case tell me this. Have you ever read The Adventures of Tom Sawyer?
DON T KNOW,adventure,Are you familiar with Moby Dick?,In that case tell me this. Have you ever read The Adventures of Tom Sawyer?
YES,adventure,Have you ever chased after something like Captain Ahab chased after that white whale?,Oh wow! Tell me more!
ABSOLUTELY,adventure,Have you ever chased after something like Captain Ahab chased after that white whale?,Oh wow! Tell me more!
I HAVE,adventure,Have you ever chased after something like Captain Ahab chased after that white whale?,Oh wow! Tell me more!
NO,adventure,Have you ever chased after something like Captain Ahab chased after that white whale?,I understand. Sometimes my biggest dream is just to eat a whole pizza to myself!
DON T KNOW,adventure,Have you ever chased after something like Captain Ahab chased after that white whale?,I understand. Sometimes my biggest dream is just to eat a whole pizza to myself!
CAN T REMEMBER,adventure,Sometimes my biggest dream is just to eat a whole pizza to myself!,Did you ever do much writing yourself?
DON T KNOW,adventure,Tell me more!,Well I happen to think you could write an adventure novel. Did you ever do much writing yourself?
I DO NOT REMEMBER,adventure,Tell me more!,Sounds like the plot of a great adventure novel! Did you ever do much writing yourself?
[MASK] ADVENTURE [MASK],*,"Do you prefer adventure, horror, drama, or mystery?",There's nothing like a good adventure to liven things up! Have you ever read The Adventures of Tom Sawyer?
[MASK] ADVENTURE [MASK],*,"Do you prefer adventure, horror, drama, or mystery?","Adventure excites me! Oh the thrill, the chase! Are you familiar with Moby Dick?"
YES,adventure,Have you ever read The Adventures of Tom Sawyer?,What did you think of all the mischief Tom got into?
ABSOLUTELY,adventure,Have you ever read The Adventures of Tom Sawyer?,What did you think of all the mischief Tom got into?
I HAVE,adventure,Have you ever read The Adventures of Tom Sawyer?,What did you think of all the mischief Tom got into?
NO,adventure,Have you ever read The Adventures of Tom Sawyer?,The Adventures of Tom Sawyer is about a boy living on the Mississippi River. Did you like to go exploring when you were kid?
DON T KNOW,adventure,Have you ever read The Adventures of Tom Sawyer?,The Adventures of Tom Sawyer is about a boy living on the Mississippi River. Did you like to go exploring when you were kid?
I DO NOT HAVE AN OPINION,adventure,What did you think of all the mischief Tom got into?,He certainly was curious and never liked to sit still very long. Did you like to go exploring when you were kid?
YES,adventure,Did you like to go exploring when you were kid?,"How exciting! What did you explore, and what happened?"
ABSOLUTELY,adventure,Did you like to go exploring when you were kid?,"How exciting! What did you explore, and what happened?"
I DID,adventure,Did you like to go exploring when you were kid?,"How exciting! What did you explore, and what happened?"
NO,adventure,Did you like to go exploring when you were kid?,I do not do much exploring myself! Are you familiar with Tom Clancy's writing?
DON T KNOW,adventure,Did you like to go exploring when you were kid?,I do not do much exploring myself! Are you familiar with Tom Clancy's writing?
NOT CERTAIN,adventure,"What did you explore, and what happened?",You weren't so different from Tom Sawyer after all! Do you still like to explore?
YOU JUST SAID THAT,*,*,My apologies! Do you want to get back to talking about sports?
